DEVICE_A;PORT_A;TRANSCEIVER_A;DEVICE_B;PORT_B;TRANSCEIVER_B;STATUS;SPEED;DUPLEX;TYPE;VLAN;DESCRIPTION;NOTE
1NP-ACCESS1;Gig3/0/35;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/36;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/37;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/38;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/39;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/40;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/41;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/42;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/43;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/44;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/45;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/46;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/47;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/48;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Ten3/1/1;-;;;;DOWN;;;;; ;
1NP-ACCESS1;Ten3/1/2;-;;;;DOWN;;;;; ;
1NP-ACCESS1;Ten3/1/3;-;;;;DOWN;;;;; ;
1NP-ACCESS1;Ten3/1/4;-;;;;DOWN;;;;; ;
1NP-ACCESS1;Gig4/0/1;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig4/0/2;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
